Time (ms), Left Level dB, Right Level dB, rMomentary LU MAIN, rShort LU MAIN, rIntegrated LU MAIN , rPeak Correction dB MAIN
60000000,  -23.00,  -23.00,  -22.48,  -22.44,  -19.64,   -3.15
60060000,  -23.00,  -23.00,  -22.53,  -22.43,  -19.65,   -2.73
60120000,  -23.00,  -23.00,  -25.53,  -25.44,  -19.65,   -2.17
60180000,  -26.00,  -26.00,  -25.46,  -25.45,  -19.65,   -1.54
60240000,  -26.00,  -26.00,  -25.51,  -25.45,  -19.66,   -0.86
60300000,  -26.00,  -26.00,  -25.48,  -25.45,  -19.66,    0.29
60360000,  -26.00,  -26.00,  -25.46,  -25.44,  -19.66,    0.82
60420000,  -23.00,  -23.00,  -22.48,  -22.45,  -19.66,    1.18
60480000,  -23.00,  -23.00,  -22.53,  -22.45,  -19.67,    0.94
60540000,  -23.00,  -23.00,  -22.57,  -22.44,  -19.67,    0.87
60600000,  -23.00,  -23.00,  -22.47,  -22.45,  -19.67,    0.66
60660000,  -23.00,  -23.00,  -22.47,  -22.44,  -19.67,    0.49
60720000,  -20.00,  -20.00,  -19.52,  -19.42,  -19.67,   -2.16
60780000,  -20.00,  -20.00,  -19.53,  -19.43,  -19.67,   -2.54
60840000,  -20.00,  -20.00,  -19.49,  -19.44,  -19.67,   -2.56
60900000,  -20.00,  -20.00,  -19.50,  -19.45,  -19.67,   -2.57
60960000,  -20.00,  -20.00,  -19.57,  -19.43,  -19.67,   -2.56
61020000,  -20.00,  -20.00,  -22.49,  -22.44,  -19.67,   -2.72
61080000,  -23.00,  -23.00,  -22.54,  -22.44,  -19.68,   -3.18
61140000,  -23.00,  -23.00,  -22.52,  -22.45,  -19.68,   -3.29
61200000,  -23.00,  -23.00,  -22.50,  -22.44,  -19.68,   -3.25
61260000,  -23.00,  -23.00,  -22.48,  -22.46,  -19.68,   -2.91
61320000,  -23.00,  -23.00,  -25.53,  -25.46,  -19.68,   -2.37
61380000,  -26.00,  -26.00,  -25.49,  -25.45,  -19.69,   -1.76
61440000,  -26.00,  -26.00,  -25.55,  -25.45,  -19.69,   -1.09
61500000,  -26.00,  -26.00,  -25.52,  -25.45,  -19.69,   -0.42
61560000,  -26.00,  -26.00,  -25.51,  -25.45,  -19.70,    0.64
61620000,  -23.00,  -23.00,  -22.48,  -23.52,  -19.70,    1.19
61680000,  -23.00,  -23.00,  -22.50,  -22.44,  -19.70,    1.13
61740000,  -23.00,  -23.00,  -22.51,  -22.47,  -19.70,    0.91
61800000,  -23.00,  -23.00,  -22.53,  -22.47,  -19.71,    0.75
61860000,  -23.00,  -23.00,  -22.49,  -22.44,  -19.71,    0.48
61920000,  -23.00,  -23.00,  -22.50,  -22.49,  -19.71,    0.49
61980000,  -20.00,  -20.00,  -19.52,  -19.44,  -19.71,   -2.52
62040000,  -20.00,  -20.00,  -19.53,  -19.46,  -19.71,   -2.55
62100000,  -20.00,  -20.00,  -19.53,  -19.46,  -19.71,   -2.55
62160000,  -20.00,  -20.00,  -19.51,  -19.45,  -19.71,   -2.56
62220000,  -20.00,  -20.00,  -19.52,  -19.45,  -19.71,   -2.56
62280000,  -20.00,  -20.00,  -22.51,  -22.44,  -19.71,   -3.07
62340000,  -23.00,  -23.00,  -22.52,  -22.45,  -19.71,   -3.28
62400000,  -23.00,  -23.00,  -22.54,  -22.47,  -19.72,   -3.28
62460000,  -23.00,  -23.00,  -22.51,  -22.44,  -19.72,   -3.05
62520000,  -23.00,  -23.00,  -22.51,  -22.45,  -19.72,   -2.56
62580000,  -23.00,  -23.00,  -25.52,  -25.43,  -19.72,   -1.97
62640000,  -26.00,  -26.00,  -25.48,  -25.46,  -19.73,   -1.32
62700000,  -26.00,  -26.00,  -25.46,  -25.46,  -19.73,   -0.62
62760000,  -26.00,  -26.00,  -25.48,  -25.41,  -19.73,    0.47
62820000,  -26.00,  -26.00,  -25.52,  -25.45,  -19.74,    1.01
62880000,  -23.00,  -23.00,  -22.50,  -22.43,  -19.74,    1.18
62940000,  -23.00,  -23.00,  -22.48,  -22.43,  -19.74,    0.91
63000000,  -23.00,  -23.00,  -22.51,  -22.42,  -19.74,    0.80
63060000,  -23.00,  -23.00,  -22.48,  -22.46,  -19.74,    0.53
63120000,  -23.00,  -23.00,  -22.50,  -22.44,  -19.75,    0.49
63180000,  -20.00,  -20.00,  -19.53,  -19.45,  -19.75,   -2.40
63240000,  -20.00,  -20.00,  -19.53,  -19.46,  -19.75,   -2.55
63300000,  -20.00,  -20.00,  -19.53,  -19.44,  -19.75,   -2.57
63360000,  -20.00,  -20.00,  -19.47,  -19.44,  -19.75,   -2.56
63420000,  -20.00,  -20.00,  -19.54,  -19.43,  -19.75,   -2.56
63480000,  -20.00,  -20.00,  -22.45,  -22.45,  -19.75,   -2.90
63540000,  -23.00,  -23.00,  -22.53,  -22.46,  -19.75,   -3.22
63600000,  -23.00,  -23.00,  -22.51,  -22.43,  -19.75,   -3.26
63660000,  -23.00,  -23.00,  -22.55,  -22.44,  -19.75,   -3.15
63720000,  -23.00,  -23.00,  -22.53,  -22.47,  -19.75,   -2.74
63780000,  -23.00,  -23.00,  -25.49,  -25.44,  -19.76,   -2.17
63840000,  -26.00,  -26.00,  -25.54,  -25.46,  -19.76,   -1.54
63900000,  -26.00,  -26.00,  -25.49,  -25.45,  -19.76,   -0.86
63960000,  -26.00,  -26.00,  -25.51,  -25.44,  -19.77,    0.29
64020000,  -26.00,  -26.00,  -25.51,  -25.42,  -19.77,    0.82
64080000,  -23.00,  -23.00,  -22.57,  -22.45,  -19.77,    1.17
64140000,  -23.00,  -23.00,  -22.48,  -22.45,  -19.77,    0.94
64200000,  -23.00,  -23.00,  -22.50,  -22.45,  -19.78,    0.87
64260000,  -23.00,  -23.00,  -22.49,  -22.43,  -19.78,    0.67
64320000,  -23.00,  -23.00,  -22.53,  -22.45,  -19.78,    0.48
64380000,  -20.00,  -20.00,  -19.55,  -19.44,  -19.78,   -2.14
64440000,  -20.00,  -20.00,  -19.54,  -19.45,  -19.78,   -2.54
64500000,  -20.00,  -20.00,  -19.53,  -19.45,  -19.78,   -2.56
64560000,  -20.00,  -20.00,  -19.57,  -19.45,  -19.78,   -2.56
64620000,  -20.00,  -20.00,  -19.49,  -19.44,  -19.78,   -2.56
64680000,  -20.00,  -20.00,  -22.48,  -22.45,  -19.78,   -2.71
64740000,  -23.00,  -23.00,  -22.53,  -22.44,  -19.78,   -3.18
64800000,  -23.00,  -23.00,  -22.53,  -22.43,  -19.78,   -3.29
64860000,  -23.00,  -23.00,  -22.50,  -22.43,  -19.79,   -3.26
64920000,  -23.00,  -23.00,  -22.52,  -22.44,  -19.79,   -2.91
64980000,  -23.00,  -23.00,  -25.54,  -25.45,  -19.79,   -2.37
65040000,  -26.00,  -26.00,  -25.55,  -25.45,  -19.79,   -1.76
65100000,  -26.00,  -26.00,  -25.51,  -25.44,  -19.80,   -1.10
65160000,  -26.00,  -26.00,  -25.48,  -25.44,  -19.80,   -0.43
65220000,  -26.00,  -26.00,  -25.45,  -25.43,  -19.80,    0.64
65280000,  -26.00,  -26.00,  -49.62,  -32.34,  -19.80,    1.20
65340000,  -50.05,  -50.05,  -49.55,  -49.51,  -19.81,    1.84
65400000,  -50.05,  -50.05,  -49.63,  -49.51,  -19.81,    2.55
65460000,  -50.05,  -50.05,  -49.60,  -49.52,  -19.82,    3.41
65520000,  -50.05,  -50.05,  -49.61,  -49.51,  -19.82,    4.37
65580000,  -50.05,  -50.05,  -49.58,  -49.52,  -19.82,    5.38
65640000,  -23.00,  -23.00,  -22.53,  -22.44,  -19.83,    5.43
65700000,  -23.00,  -23.00,  -22.52,  -22.43,  -19.83,    0.99
65760000,  -23.00,  -23.00,  -22.55,  -22.47,  -19.83,    0.83
65820000,  -23.00,  -23.00,  -22.54,  -22.47,  -19.83,    0.49
65880000,  -23.00,  -23.00,  -22.51,  -22.45,  -19.83,    0.47
65940000,  -20.00,  -20.00,  -19.48,  -19.47,  -19.83,   -2.58
66000000,  -20.00,  -20.00,  -19.53,  -19.44,  -19.83,   -2.59
66060000,  -20.00,  -20.00,  -19.47,  -19.47,  -19.83,   -2.59
66120000,  -20.00,  -20.00,  -19.55,  -19.46,  -19.83,   -2.58
66180000,  -20.00,  -20.00,  -19.50,  -19.45,  -19.83,   -2.59
66240000,  -20.00,  -20.00,  -22.57,  -22.43,  -19.83,   -2.56
66300000,  -23.00,  -23.00,  -22.52,  -22.46,  -19.84,   -2.12
66360000,  -23.00,  -23.00,  -22.52,  -22.45,  -19.84,   -2.76
66420000,  -23.00,  -23.00,  -22.53,  -22.47,  -19.84,   -2.80
66480000,  -23.00,  -23.00,  -22.50,  -22.45,  -19.84,   -2.64
66540000,  -23.00,  -23.00,  -25.53,  -25.45,  -19.84,   -2.10
66600000,  -26.00,  -26.00,  -25.54,  -25.46,  -19.85,   -1.42
66660000,  -26.00,  -26.00,  -25.57,  -25.46,  -19.85,   -0.70
66720000,  -26.00,  -26.00,  -25.48,  -25.45,  -19.85,    0.41
66780000,  -26.00,  -26.00,  -25.50,  -25.43,  -19.86,    0.95
66840000,  -23.00,  -23.00,  -22.52,  -22.44,  -19.86,    1.17
66900000,  -23.00,  -23.00,  -22.45,  -22.41,  -19.86,    0.91
66960000,  -23.00,  -23.00,  -22.48,  -22.42,  -19.86,    0.82
67020000,  -23.00,  -23.00,  -22.47,  -22.42,  -19.86,    0.58
67080000,  -23.00,  -23.00,  -22.49,  -22.45,  -19.87,    0.48
67140000,  -20.00,  -20.00,  -19.49,  -19.44,  -19.87,   -2.33
67200000,  -20.00,  -20.00,  -19.53,  -19.46,  -19.87,   -2.55
67260000,  -20.00,  -20.00,  -19.49,  -19.46,  -19.87,   -2.56
67320000,  -20.00,  -20.00,  -19.54,  -19.45,  -19.86,   -2.56
67380000,  -20.00,  -20.00,  -19.54,  -19.43,  -19.86,   -2.56
67440000,  -20.00,  -20.00,  -22.51,  -22.44,  -19.87,   -2.84
67500000,  -23.00,  -23.00,  -22.51,  -22.44,  -19.87,   -3.22
67560000,  -23.00,  -23.00,  -22.52,  -22.45,  -19.87,   -3.27
67620000,  -23.00,  -23.00,  -22.48,  -22.43,  -19.87,   -3.18
67680000,  -23.00,  -23.00,  -22.54,  -22.45,  -19.87,   -2.79
67740000,  -23.00,  -23.00,  -25.51,  -25.47,  -19.87,   -2.24
67800000,  -26.00,  -26.00,  -25.54,  -25.44,  -19.88,   -1.61
67860000,  -26.00,  -26.00,  -25.54,  -25.48,  -19.88,   -0.93
67920000,  -26.00,  -26.00,  -25.55,  -25.45,  -19.88,   -0.29
67980000,  -26.00,  -26.00,  -25.52,  -25.45,  -19.89,    0.76
68040000,  -23.00,  -23.00,  -22.52,  -22.43,  -19.89,    1.17
68100000,  -23.00,  -23.00,  -22.47,  -22.45,  -19.89,    0.96
68160000,  -23.00,  -23.00,  -22.53,  -22.43,  -19.89,    0.88
68220000,  -23.00,  -23.00,  -22.58,  -22.45,  -19.89,    0.69
68280000,  -23.00,  -23.00,  -22.53,  -22.44,  -19.90,    0.49
68340000,  -20.00,  -20.00,  -19.58,  -19.45,  -19.90,   -2.01
68400000,  -20.00,  -20.00,  -19.51,  -19.44,  -19.90,   -2.54
68460000,  -20.00,  -20.00,  -19.51,  -19.45,  -19.90,   -2.55
68520000,  -20.00,  -20.00,  -19.49,  -19.45,  -19.90,   -2.56
68580000,  -20.00,  -20.00,  -19.50,  -19.46,  -19.90,   -2.56
68640000,  -20.00,  -20.00,  -19.52,  -19.44,  -19.90,   -2.66
68700000,  -20.00,  -20.00,  -22.52,  -22.44,  -19.90,   -3.16
68760000,  -23.00,  -23.00,  -22.49,  -22.44,  -19.90,   -3.34
68820000,  -23.00,  -23.00,  -22.53,  -22.44,  -19.90,   -3.34
68880000,  -23.00,  -23.00,  -22.43,  -22.45,  -19.90,   -3.10
68940000,  -23.00,  -23.00,  -22.55,  -22.42,  -19.90,   -2.62
69000000,  -23.00,  -23.00,  -25.54,  -25.44,  -19.91,   -2.04
69060000,  -26.00,  -26.00,  -25.54,  -25.46,  -19.91,   -1.40
69120000,  -26.00,  -26.00,  -25.53,  -25.44,  -19.91,   -0.71
69180000,  -26.00,  -26.00,  -25.51,  -25.44,  -19.91,    0.40
69240000,  -26.00,  -26.00,  -25.54,  -25.43,  -19.92,    0.94
